epoch,rel_time,can_id,dlc,data_hex,type,counter,temp,state,crc_ok,gap
1782982956.934204,11.186875,0x123,8,07 1e 05 01 00 00 00 cf,SENSOR,7,30.05,WARNING,True,0
1782982956.938026,11.190696,0x100,2,83 08,HEARTBEAT,,,,,
1782982957.034052,11.286723,0x123,8,08 1e 05 01 00 00 00 36,SENSOR,8,30.05,WARNING,True,0
1782982957.133571,11.386241,0x123,8,09 1e 05 01 00 00 00 e9,SENSOR,9,30.05,WARNING,True,0
1782982957.137051,11.389721,0x100,2,84 0a,HEARTBEAT,,,,,
1782982957.233432,11.486103,0x123,8,0a 1e 05 01 00 00 00 8f,SENSOR,10,30.05,WARNING,True,0
1782982957.333265,11.585935,0x123,8,0b 1e 05 01 00 00 00 50,SENSOR,11,30.05,WARNING,True,0
1782982957.337080,11.589751,0x100,2,85 0c,HEARTBEAT,,,,,
1782982957.433307,11.685977,0x123,8,0c 1e 05 01 00 00 00 43,SENSOR,12,30.05,WARNING,True,0
1782982957.532945,11.785615,0x123,8,0d 1e 05 01 00 00 00 9c,SENSOR,13,30.05,WARNING,True,0
1782982957.536764,11.789435,0x100,2,86 0e,HEARTBEAT,,,,,
1782982957.632682,11.885353,0x123,8,0e 1e 05 01 00 00 00 fa,SENSOR,14,30.05,WARNING,True,0
1782982957.732478,11.985148,0x123,8,0f 1e 05 01 00 00 00 25,SENSOR,15,30.05,WARNING,True,0
1782982957.736508,11.989178,0x100,2,87 10,HEARTBEAT,,,,,
1782982957.832501,12.085172,0x123,8,10 1e 05 01 00 00 00 0f,SENSOR,16,30.05,WARNING,True,0
1782982957.932730,12.185401,0x123,8,11 1e 05 01 00 00 00 d0,SENSOR,17,30.05,WARNING,True,0
1782982957.936163,12.188833,0x100,2,88 12,HEARTBEAT,,,,,
1782982958.032185,12.284855,0x123,8,12 1e 05 01 00 00 00 b6,SENSOR,18,30.05,WARNING,True,0
1782982958.131833,12.384503,0x123,8,13 1e 05 01 00 00 00 69,SENSOR,19,30.05,WARNING,True,0
1782982958.135642,12.388313,0x100,2,89 14,HEARTBEAT,,,,,
1782982958.232228,12.484899,0x123,8,14 1e 05 01 00 00 00 7a,SENSOR,20,30.05,WARNING,True,0
1782982958.332073,12.584744,0x123,8,15 1e 05 01 00 00 00 a5,SENSOR,21,30.05,WARNING,True,0
1782982958.335928,12.588599,0x100,2,8a 16,HEARTBEAT,,,,,
1782982958.432057,12.684727,0x123,8,16 1e 05 01 00 00 00 c3,SENSOR,22,30.05,WARNING,True,0
1782982958.531665,12.784335,0x123,8,17 1e 05 01 00 00 00 1c,SENSOR,23,30.05,WARNING,True,0
1782982958.535743,12.788414,0x100,2,8b 18,HEARTBEAT,,,,,
1782982958.631357,12.884027,0x123,8,18 1e 06 01 00 00 00 43,SENSOR,24,30.06,WARNING,True,0
1782982958.731407,12.984077,0x123,8,19 1e 06 01 00 00 00 9c,SENSOR,25,30.06,WARNING,True,0
1782982958.735073,12.987744,0x100,2,8c 1a,HEARTBEAT,,,,,
1782982958.831382,13.084053,0x123,8,1a 1e 06 01 00 00 00 fa,SENSOR,26,30.06,WARNING,True,0
1782982958.931342,13.184012,0x123,8,1b 1e 06 01 00 00 00 25,SENSOR,27,30.06,WARNING,True,0
1782982958.934967,13.187637,0x100,2,8d 1c,HEARTBEAT,,,,,
1782982959.030878,13.283549,0x123,8,1c 1e 06 01 00 00 00 36,SENSOR,28,30.06,WARNING,True,0
1782982959.130738,13.383409,0x123,8,1d 1e 06 01 00 00 00 e9,SENSOR,29,30.06,WARNING,True,0
1782982959.134630,13.387301,0x100,2,8e 1e,HEARTBEAT,,,,,
1782982959.230771,13.483442,0x123,8,1e 1e 06 01 00 00 00 8f,SENSOR,30,30.06,WARNING,True,0
1782982959.330205,13.582876,0x123,8,1f 1e 06 01 00 00 00 50,SENSOR,31,30.06,WARNING,True,0
1782982959.334199,13.586869,0x100,2,8f 20,HEARTBEAT,,,,,
1782982959.430327,13.682998,0x123,8,20 1e 06 01 00 00 00 db,SENSOR,32,30.06,WARNING,True,0
1782982959.529534,13.782204,0x123,8,21 1e 06 01 00 00 00 04,SENSOR,33,30.06,WARNING,True,0
1782982959.533367,13.786037,0x100,2,90 22,HEARTBEAT,,,,,
1782982959.629660,13.882330,0x123,8,22 1e 06 01 00 00 00 62,SENSOR,34,30.06,WARNING,True,0
1782982959.729347,13.982018,0x123,8,23 1e 05 01 00 00 00 1b,SENSOR,35,30.05,WARNING,True,0
1782982959.733226,13.985897,0x100,2,91 24,HEARTBEAT,,,,,
1782982959.829733,14.082404,0x123,8,24 1e 05 01 00 00 00 08,SENSOR,36,30.05,WARNING,True,0
1782982959.929111,14.181782,0x123,8,25 1e 05 01 00 00 00 d7,SENSOR,37,30.05,WARNING,True,0
1782982959.932884,14.185554,0x100,2,92 26,HEARTBEAT,,,,,
1782982960.028641,14.281312,0x123,8,26 1e 05 01 00 00 00 b1,SENSOR,38,30.05,WARNING,True,0
1782982960.128474,14.381144,0x123,8,27 1e 05 01 00 00 00 6e,SENSOR,39,30.05,WARNING,True,0
1782982960.132587,14.385258,0x100,2,93 28,HEARTBEAT,,,,,
1782982960.228920,14.481590,0x123,8,28 1e 05 01 00 00 00 97,SENSOR,40,30.05,WARNING,True,0
1782982960.328234,14.580905,0x123,8,29 1e 05 01 00 00 00 48,SENSOR,41,30.05,WARNING,True,0
1782982960.332052,14.584723,0x100,2,94 2a,HEARTBEAT,,,,,
1782982960.428267,14.680938,0x123,8,2a 1e 05 01 00 00 00 2e,SENSOR,42,30.05,WARNING,True,0
1782982960.528256,14.780927,0x123,8,2b 1e 05 01 00 00 00 f1,SENSOR,43,30.05,WARNING,True,0
1782982960.532121,14.784791,0x100,2,95 2c,HEARTBEAT,,,,,
1782982960.628111,14.880781,0x123,8,2c 1e 05 01 00 00 00 e2,SENSOR,44,30.05,WARNING,True,0
1782982960.727965,14.980635,0x123,8,2d 1e 05 01 00 00 00 3d,SENSOR,45,30.05,WARNING,True,0
1782982960.731953,14.984623,0x100,2,96 2e,HEARTBEAT,,,,,
1782982960.828220,15.080890,0x123,8,2e 1e 07 01 00 00 00 9f,SENSOR,46,30.07,WARNING,True,0
1782982960.927910,15.180581,0x123,8,2f 1e 07 01 00 00 00 40,SENSOR,47,30.07,WARNING,True,0
1782982960.931498,15.184168,0x100,2,97 30,HEARTBEAT,,,,,
1782982961.027516,15.280186,0x123,8,30 1e 07 01 00 00 00 6a,SENSOR,48,30.07,WARNING,True,0
1782982961.127117,15.379788,0x123,8,31 1e 07 01 00 00 00 b5,SENSOR,49,30.07,WARNING,True,0
1782982961.130906,15.383577,0x100,2,98 32,HEARTBEAT,,,,,
1782982961.227572,15.480242,0x123,8,32 1e 07 01 00 00 00 d3,SENSOR,50,30.07,WARNING,True,0
1782982961.327486,15.580156,0x123,8,33 1e 07 01 00 00 00 0c,SENSOR,51,30.07,WARNING,True,0
1782982961.331063,15.583733,0x100,2,99 34,HEARTBEAT,,,,,
1782982961.427515,15.680186,0x123,8,34 1e 07 01 00 00 00 1f,SENSOR,52,30.07,WARNING,True,0
1782982961.526676,15.779346,0x123,8,35 1e 07 01 00 00 00 c0,SENSOR,53,30.07,WARNING,True,0
1782982961.530404,15.783075,0x100,2,9a 36,HEARTBEAT,,,,,
1782982961.627115,15.879785,0x123,8,36 1e 07 01 00 00 00 a6,SENSOR,54,30.07,WARNING,True,0
1782982961.726861,15.979531,0x123,8,37 1e 07 01 00 00 00 79,SENSOR,55,30.07,WARNING,True,0
1782982961.730358,15.983028,0x100,2,9b 38,HEARTBEAT,,,,,
1782982961.826519,16.079189,0x123,8,38 1e 07 01 00 00 00 80,SENSOR,56,30.07,WARNING,True,0
1782982961.926229,16.178899,0x123,8,39 1e 06 01 00 00 00 3d,SENSOR,57,30.06,WARNING,True,0
1782982961.930077,16.182748,0x100,2,9c 3a,HEARTBEAT,,,,,
